period,registration_type,brand,nameplate,model,trim_label,grade,drive,range_km,battery_kwh,powertrain_hint,segment,body_type,market_position,powertrain,brand_segment,units,raw_label
2024-01,RY1,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,38.0,MG MG EXTENDER
2024-03,RY1,GWM,Tank 500,Tank 500,,,,,,,E,PPV,LUXURY,HEV,MASS,38.0,GWM TANK 500 HYBRID
2024-08,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,38.0,TESLA Model Y Rear-Wheel Drive
2024-09,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,38.0,HAVAL H6 HEV ULTRA
2024-10,RY1,Deepal,Deepal L07,Deepal L07,,,,,,,D,SEDAN,UPPER,BEV,MASS,38.0,DEEPAL L07
2024-11,RY1,BYD,Atto 3,Atto 3,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,38.0,BYD BYD ATTO 3
2024-12,RY1,XPeng,XPeng G6,XPeng G6,STANDARD RANGE,STANDARD RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,38.0,XPENG G6 STANDARD RANGE
2025-01,RY1,GWM,Haval H6,Haval H6,PLUG-IN HYBRID,,,,,PHEV,C,CROSSOVER,UPPER,MIXED,MASS,38.0,HAVAL H6 PLUG-IN HYBRID
2025-02,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,38.0,HAVAL H6 HEV ULTRA
2025-02,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,38.0,ORA ORA 07
2025-04,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,38.0,MG MG EXTENDER
2025-10,RY1,Deepal,Deepal S07,Deepal S07,L,,,,,,C,CROSSOVER,UPPER,BEV,MASS,38.0,DEEPAL S07 L
2025-10,RY1,XPeng,XPeng G6,XPeng G6,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,38.0,XPENG G6 LONG RANGE
2025-11,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,38.0,JAECOO 6 EV Long Range 2WD
2023-05,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,37.0,MG MG EXTENDER
2024-03,RY1,GWM,Haval H6,Haval H6,PLUG-IN HYBRID,,,,,PHEV,C,CROSSOVER,UPPER,MIXED,MASS,37.0,HAVAL H6 PLUG-IN HYBRID
2024-05,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,37.0,MG ZS EV
2024-12,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,37.0,MG VS HEV
2025-02,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRD,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,37.0,WULING Binguo SRD
2025-03,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,37.0,MG VS HEV
2025-03,RY1,Tesla,Model 3,Model 3,PERFORMANCE,PERFORMANCE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,37.0,TESLA Model 3 Performance
2025-05,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,37.0,BYD BYD SEAL STD RWD
2025-05,RY1,Riddara,RD6,Riddara RD6 Double Cab,PRO 2WD,PRO,2WD,,,,F,PICKUP,UPPER,BEV,MASS,37.0,RIDDARA RD6 PRO 2WD
2025-06,RY1,Deepal,Deepal S07,Deepal S07,L,,,,,,C,CROSSOVER,UPPER,BEV,MASS,37.0,DEEPAL S07 L
2025-07,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,37.0,MG ZS EV
2025-10,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,37.0,MG ZS
2025-11,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,37.0,MG ZS
2024-01,RY1,GWM,Tank 500,Tank 500,,,,,,,E,PPV,LUXURY,HEV,MASS,36.0,GWM TANK 500 HYBRID
2024-05,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,36.0,BYD BYD SEAL EXD AWD
2024-08,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,36.0,MG HS PHEV
2024-10,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,36.0,MG MAXUS 9
2024-11,RY1,MG,MG Cyberster,MG Cyberster,,,,,,,D,COUPE,LUXURY,BEV,MASS,36.0,MG CYBERSTER
2024-12,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,36.0,GWM TANK 300 HYBRID
2025-01,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,36.0,TESLA Model 3 Rear-Wheel Drive
2025-03,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,36.0,BYD BYD SEAL STD RWD
2025-03,RY1,Tesla,Model 3,Model 3,LONG RANGE,LONG RANGE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,36.0,TESLA MODEL 3 LONG RANGE
2025-04,RY1,Riddara,RD6,Riddara RD6 Double Cab,PRO 2WD,PRO,2WD,,,,F,PICKUP,UPPER,BEV,MASS,36.0,RIDDARA RD6 PRO 2WD
2025-06,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,36.0,MG ZS EV
2025-12,RY1,MG,MG Maxus 7,MG Maxus 7,,,,,,,D,MPV,UPPER,ICE,MASS,36.0,MG MAXUS 7
2023-09,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,35.0,MG MG EXTENDER
2023-11,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,35.0,MG HS PHEV
2024-02,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,35.0,ORA GOOD CAT
2024-04,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,35.0,BYD BYD SEAL EXD AWD
2024-07,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,35.0,MG MG EXTENDER
2024-09,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,35.0,ORA ORA 07
2025-01,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,35.0,MG EP
2025-02,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,35.0,MG VS HEV
2025-04,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,35.0,GWM TANK 300 HYBRID
2025-04,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,35.0,MG VS HEV
2025-09,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,35.0,MG HS PHEV
2025-11,RY1,GAC,GAC M8,GAC M8,PHEV PREMIUM,PREMIUM,,,,PHEV,E,MPV,LUXURY,PHEV,MASS,35.0,GAC M8 PHEV PREMIUM
2025-12,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,35.0,MG VS HEV
2022-01,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,34.0,ORA GOOD CAT
2024-03,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,34.0,TESLA Model Y Rear-Wheel Drive
2024-05,RY1,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,34.0,MG MG EXTENDER
2024-09,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,34.0,TESLA MODEL Y LONG RANGE
2024-10,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,34.0,GWM TANK 300 HYBRID
2025-01,RY1,Changan,Changan Lumin,Changan Lumin,,,,,,,A,HATCHBACK,ENTRY,BEV,MASS,34.0,CHANGAN LUMIN
2025-03,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,34.0,BYD BYD SEAL EXD RWD
2025-04,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRD,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,34.0,WULING Binguo SRD
2025-09,RY1,Riddara,RD6,Riddara RD6 Double Cab,PRO 2WD,PRO,2WD,,,,F,PICKUP,UPPER,BEV,MASS,34.0,RIDDARA RD6 PRO 2WD
2025-12,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,34.0,MG MAXUS 9
2025-12,RY1,XPeng,XPeng X9,XPeng X9,LONG RANGE,LONG RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,34.0,XPENG X9 LONG RANGE
2022-05,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,33.0,MG EP
2022-12,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,33.0,MG MG EXTENDER
2023-10,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,33.0,MG HS PHEV
2023-12,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,33.0,MG MG EXTENDER
2024-01,RY3,BYD,BYD T3,BYD T3,,,,,,,UNKNOWN,VAN,VOLUME,BEV,MASS,33.0,BYD T3
2024-04,RY1,GWM,Haval H6,Haval H6,PLUG-IN HYBRID,,,,,PHEV,C,CROSSOVER,UPPER,MIXED,MASS,33.0,HAVAL H6 PLUG-IN HYBRID
2024-05,RY1,Tesla,Model Y,Model Y,PERFORMANCE,PERFORMANCE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,33.0,TESLA MODEL Y PERFORMANCE
2024-08,RY1,GWM,Haval H6,Haval H6,PLUG-IN HYBRID,,,,,PHEV,C,CROSSOVER,UPPER,MIXED,MASS,33.0,HAVAL H6 PLUG-IN HYBRID
2024-10,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,33.0,BYD BYD SEAL EXD RWD
2024-12,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,33.0,BYD BYD SEAL EXD AWD
2025-02,RY1,Tesla,Model 3,Model 3,PERFORMANCE,PERFORMANCE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,33.0,TESLA Model 3 Performance
2025-03,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,33.0,BYD BYD SEAL EXD AWD
2025-03,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Plus,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,33.0,OMODA C5 EV Long Range Plus
2025-04,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,33.0,BYD BYD SEAL STD RWD
2025-04,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,33.0,HAVAL H6 HEV ULTRA
2025-04,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Plus,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,33.0,OMODA C5 EV Long Range Plus
2025-04,RY1,XPeng,XPeng G6,XPeng G6,STANDARD RANGE,STANDARD RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,33.0,XPENG G6 STANDARD RANGE
2025-05,RY1,Deepal,Deepal L07,Deepal L07,,,,,,,D,SEDAN,UPPER,BEV,MASS,33.0,DEEPAL L07
2025-05,RY1,Neta,Neta X,Neta X,,,,,,,B,CROSSOVER,VOLUME,BEV,BUDGET,33.0,NETA NETA X
2025-09,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,33.0,GWM TANK 300 HYBRID
2025-11,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,DYNAMIC,DYNAMIC,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,33.0,BYD BYD SEALION 6 DM-i DYNAMIC
2022-10,RY1,GWM,Haval H6,Haval H6,HEV PRO,PRO,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,32.0,HAVAL H6 HEV PRO
2024-03,RY1,Deepal,Deepal L07,Deepal L07,,,,,,,D,SEDAN,UPPER,BEV,MASS,32.0,DEEPAL L07
2024-10,RY1,Tesla,Model 3,Model 3,PERFORMANCE,PERFORMANCE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,32.0,TESLA Model 3 Performance
2024-12,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,32.0,MG EP
2025-02,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,32.0,BYD BYD SEAL STD RWD
2025-02,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,32.0,MG ZS EV
2025-06,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,32.0,MG VS HEV
2025-08,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,32.0,ORA ORA 07
2025-08,RY1,XPeng,XPeng G6,XPeng G6,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,32.0,XPENG G6 LONG RANGE
2025-11,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,32.0,BYD BYD SEAL STD RWD
2025-11,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,32.0,MG MAXUS 9
2025-12,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,32.0,BYD BYD SEAL STD RWD
2026-01,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,31.0,ORA ORA 07
2023-07,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,31.0,TESLA Model Y Rear-Wheel Drive
2023-09,RY1,Aion,Aion Y Plus,Aion Y Plus,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,31.0,AION AION Y PLUS
2024-01,RY1,BYD,BYD M6,BYD M6,,,,,,,C,MPV,VOLUME,BEV,MASS,31.0,BYD E6
2024-04,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,31.0,MG ZS EV
2024-07,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,31.0,MG HS PHEV
2024-07,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,31.0,MG ZS EV
2024-09,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,31.0,MG MAXUS 9
2025-01,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRD,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,31.0,WULING Binguo SRD
2025-04,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,31.0,BYD BYD SEAL EXD AWD
2025-07,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,31.0,MG VS HEV
2025-09,RY1,XPeng,XPeng X9,XPeng X9,STANDARD RANGE,STANDARD RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,31.0,XPENG X9 STANDARD RANGE
2025-10,RY1,Avatr,Avatr 11,Avatr 11,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,LUXURY,BEV,PREMIUM_TECH,31.0,AVATR AVATR 11 LONG RANGE
2025-10,RY1,XPeng,XPeng G6,XPeng G6,STANDARD RANGE,STANDARD RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,31.0,XPENG G6 STANDARD RANGE
2025-10,RY1,Zeekr,Zeekr X,Zeekr X,,,,,,,B,CROSSOVER,UPPER,BEV,PREMIUM_TECH,31.0,ZEEKR ZEEKR X
2025-11,RY1,Riddara,RD6,Riddara RD6 Double Cab,2WD,,2WD,,,,F,PICKUP,UPPER,BEV,MASS,31.0,RIDDARA RD6 2WD
2025-12,RY1,Avatr,Avatr 11,Avatr 11,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,LUXURY,BEV,PREMIUM_TECH,31.0,AVATR AVATR 11 LONG RANGE
2026-01,RY1,Denza,Denza D9,Denza D9,AWD,,AWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,30.0,DENZA DENZA D9 AWD
2026-01,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,30.0,MG ZS
2022-08,RY2,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,30.0,MG MG EXTENDER
2023-02,RY2,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,30.0,MG MG EXTENDER
2023-07,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,30.0,MG MG EXTENDER
2023-11,RY1,GWM,Tank 500,Tank 500,,,,,,,E,PPV,LUXURY,HEV,MASS,30.0,GWM TANK 500 HYBRID
2024-04,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,30.0,TESLA Model Y Rear-Wheel Drive
2024-04,RY1,Wuling,Wuling Air EV,Wuling Air EV,LR,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,30.0,WULING Air EV LR
2024-06,RY1,Tesla,Model Y,Model Y,PERFORMANCE,PERFORMANCE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,30.0,TESLA MODEL Y PERFORMANCE
2024-08,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,30.0,MG HS
2024-10,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,30.0,MG HS PHEV
2024-10,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,30.0,ORA ORA 07
2024-11,RY1,XPeng,XPeng G6,XPeng G6,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,30.0,XPENG G6 LONG RANGE
2024-12,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,30.0,MG MAXUS 9
2025-01,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,30.0,JAECOO 6 EV Long Range 2WD
2025-04,RY1,XPeng,XPeng G6,XPeng G6,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,UPPER,BEV,PREMIUM_TECH,30.0,XPENG G6 LONG RANGE
2025-05,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,30.0,JAECOO 6 EV Long Range 2WD
2025-05,RY1,Riddara,Horizon,Riddara Horizon Double Cab,4WD,,4WD,,,,F,PICKUP,UPPER,BEV,MASS,30.0,RIDDARA HORIZON 4WD
2025-05,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRDTH,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,30.0,WULING Binguo SRDTH
2025-06,RY1,Zeekr,Zeekr X,Zeekr X,,,,,,,B,CROSSOVER,UPPER,BEV,PREMIUM_TECH,30.0,ZEEKR ZEEKR X
2025-08,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,30.0,MG VS HEV
2025-09,RY1,Deepal,Deepal S07,Deepal S07,L,,,,,,C,CROSSOVER,UPPER,BEV,MASS,30.0,DEEPAL S07 L
2025-11,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,30.0,GWM TANK 300 HYBRID
2025-11,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,30.0,HAVAL JOLION HYBRID
2025-12,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,DYNAMIC,DYNAMIC,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,30.0,BYD BYD SEALION 6 DM-i DYNAMIC
2025-12,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,30.0,MG ZS
2026-01,RY1,XPeng,XPeng X9,XPeng X9,LONG RANGE LUXURY,LONG RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,29.0,XPENG X9 LONG RANGE(LUXURY)
2023-02,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,29.0,TESLA Model 3 Rear-Wheel Drive
2024-03,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,29.0,MG HS PHEV
2024-03,RY1,Wuling,Wuling Air EV,Wuling Air EV,LR,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,29.0,WULING Air EV LR
2024-09,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,29.0,MG HS
2025-01,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,29.0,ORA ORA 07
2025-01,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,29.0,MG MG EXTENDER
2025-02,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,29.0,BYD BYD SEALION 7 AWD
2025-03,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,29.0,HAVAL H6 HEV ULTRA
2025-07,RY1,Deepal,Deepal E07,Deepal E07,PLUS,PLUS,,,,,D,SUV,LUXURY,BEV,MASS,29.0,DEEPAL E07 PLUS
2025-08,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,29.0,MG HS PHEV
2025-09,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Ultimate,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,29.0,OMODA C5 EV Long Range Ultimate
2025-10,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,29.0,MG MAXUS 9
2022-11,RY1,GWM,Haval H6,Haval H6,HEV PRO,PRO,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,28.0,HAVAL H6 HEV PRO
2023-04,RY1,Tesla,Model 3,Model 3,PERFORMANCE,PERFORMANCE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,28.0,TESLA Model 3 Performance
2024-06,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,28.0,BYD BYD SEAL EXD AWD
2024-06,RY1,Wuling,Wuling Air EV,Wuling Air EV,LR,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,28.0,WULING Air EV LR
2024-09,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,28.0,GWM TANK 300 HYBRID
2024-10,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,28.0,MG MG3
2024-11,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,28.0,BYD BYD SEAL EXD AWD
2025-03,RY1,Riddara,RD6,Riddara RD6 Double Cab,PRO 2WD,PRO,2WD,,,,F,PICKUP,UPPER,BEV,MASS,28.0,RIDDARA RD6 PRO 2WD
2025-03,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,28.0,TESLA MODEL Y LONG RANGE
2025-05,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,28.0,MG MG EXTENDER
2025-06,RY1,Denza,Denza D9,Denza D9,AWD,,AWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,28.0,DENZA DENZA D9 AWD
2025-07,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,28.0,GWM TANK 300 HYBRID
2025-07,RY1,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,28.0,MG MG EXTENDER
2025-08,RY1,Jaecoo,Jaecoo 7,Jaecoo 7,Max,MAX,,,,,C,CROSSOVER,UPPER,PHEV,MASS,28.0,JAECOO 7 SHS Max
2025-08,RY1,Wuling,Wuling Bingo,Wuling Bingo,SRDTH,,,,,,A,HATCHBACK,ENTRY,BEV,BUDGET,28.0,WULING Binguo SRDTH
2025-10,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,28.0,JAECOO 6 EV Long Range 2WD
2025-10,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,28.0,MG HS PHEV
2025-11,RY1,Avatr,Avatr 11,Avatr 11,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,LUXURY,BEV,PREMIUM_TECH,28.0,AVATR AVATR 11 LONG RANGE
2025-12,RY1,GAC,GAC M8,GAC M8,PHEV PREMIUM,PREMIUM,,,,PHEV,E,MPV,LUXURY,PHEV,MASS,28.0,GAC M8 PHEV PREMIUM
2026-01,RY1,GWM,Tank 300,Tank 300,,,,,,,C,PPV,UPPER,HEV,MASS,27.0,GWM TANK 300 HYBRID
2022-10,RY1,MG,MG3,MG3,NEW,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,27.0,MG NEW MG3
